"","Camk2a","Ccl2","Ccr2","Ccrl2","Col13a1","Ctnna3","Cxcl5","Cxcr2","Gpr65","Grb7","Hif3a","Il18rap","Il19","Il1r1","Il1r2","Itgal","Itln1","Lamb1","Lurap1l","Map3k8","Myt1l","Nos2","Notch4","Nxpe4","Osmr","Otud3","Plau","Ppbp","Procr","Ptpn22","Runx3","Stmn3","Tenm3","Tmem174","Tnfrsf1a"
"Nos2",-0.0891570612045116,0.941928400061569,0.949733062217417,0.666081252312675,0.881259017735085,-0.479818086655321,0.912576589423743,0.793845507456376,0.983826007271599,-0.609091395867356,0.716554170465681,0.815653270619714,0.900283870400748,0.907246938388763,0.896377590644617,0.797628282950517,-0.88174366086496,0.874367767477063,-0.767576908713804,0.711775958665283,-0.829469668515334,1,0.76670016109715,-0.941564488062603,0.942757689859717,0.399412400587821,0.876456748950863,0.824061581259467,0.850162785510202,0.838218186866986,0.800180150143784,-0.423711190958697,0.636668757784443,-0.838018016196007,0.91012796165167
"Notch4",-0.372354248096819,0.784074960367047,0.578447581897356,0.643356280055579,0.721330452562626,-0.674719443467179,0.957740858480326,0.929467682141327,0.823134273991517,-0.877090011327348,0.887719326020433,0.79025975153176,0.757761276455153,0.92843444616604,0.966566424534612,0.862228588082024,-0.678594739807497,0.95977693819365,-0.710807466430505,0.630881825721747,-0.98510104855507,0.76670016109715,1,-0.789578653376013,0.913026339661179,0.726107341695073,0.862110129776838,0.649201712630754,0.939118524635715,0.529862433885565,0.979588198711779,-0.323131617555215,0.893954935236214,-0.705497572099439,0.944950559585357
"Nxpe4",-0.0885957536456978,-0.910465199396723,-0.814987791706863,-0.508202511057227,-0.905381147330596,0.695912164665016,-0.908835875244345,-0.906679353291071,-0.956334511326796,0.775981133226741,-0.755265564474247,-0.866145382794681,-0.815304782034243,-0.945559593726148,-0.882264028086363,-0.685085216630094,0.913731017174027,-0.920997569060182,0.758525924871798,-0.467982329721578,0.828447157604621,-0.941564488062603,-0.789578653376013,1,-0.962212761827327,-0.542715958950091,-0.958851265176518,-0.605883637494525,-0.805568835728404,-0.646286167632862,-0.821709523412013,0.501967356611679,-0.652618728038556,0.85765779423285,-0.915473196445511
"Osmr",-0.160334674305989,0.942753465133925,0.805809782758045,0.60829183220487,0.899569735545615,-0.701291786556658,0.984455963891817,0.944010343068132,0.961560888659746,-0.823679343570287,0.811146062163714,0.908542789717011,0.885760749309192,0.992581128907648,0.967753708085604,0.842450090659242,-0.840735669743782,0.97382752081744,-0.804035240025306,0.620951837555517,-0.93240756042973,0.942757689859717,0.913026339661179,-0.962212761827327,1,0.575124859699156,0.969381445522005,0.719740061513731,0.900554939791053,0.664306550519989,0.925297913638875,-0.408984035040016,0.753657570804043,-0.856095081742721,0.984266945515965
"Otud3",0.00502571698336586,0.271824844090002,0.182897211673187,0.534951543799901,0.25132678447288,-0.560326543121637,0.635969053292637,0.749394736037218,0.496165533531438,-0.720114033315302,0.904858063881629,0.316889805530238,0.162385289025506,0.577213037586646,0.673588113058297,0.29371617159083,-0.599238076808914,0.741058915327345,-0.45636450689412,0.11718332612071,-0.704410900406329,0.399412400587821,0.726107341695073,-0.542715958950091,0.575124859699156,1,0.527630160581069,0.0945842827222251,0.679376497494561,0.292562274930211,0.754851655034529,-0.674606764863061,0.903288804637791,-0.479942658711251,0.630082682336262
"Plau",-0.0292719132786914,0.931904946636933,0.701756917822402,0.398411059187616,0.943166285877938,-0.790243326913197,0.923118719200834,0.945838312156507,0.911554277034274,-0.888613510164143,0.722753085086349,0.943365373664243,0.858302770355701,0.982830618547062,0.891726085556362,0.771290579862036,-0.807015909134611,0.932217542736259,-0.721060120542896,0.467405790940825,-0.872365351113735,0.876456748950863,0.862110129776838,-0.958851265176518,0.969381445522005,0.527630160581069,1,0.590593135832048,0.81069540212806,0.489160741075812,0.853750241716902,-0.313727519664361,0.642871277741004,-0.796107218049244,0.925764747219349
"Ppbp",-0.46855921230747,0.805634281331479,0.858556936649288,0.698723855157391,0.682797669949911,-0.0932083690618689,0.745564202046531,0.480420964953099,0.786334850239303,-0.32090617241586,0.499659308199507,0.614112610578883,0.882560146737913,0.689914391154566,0.749840521159765,0.897929110047741,-0.558641511336934,0.633831674688471,-0.568224584054285,0.975522161714236,-0.715132734571998,0.824061581259467,0.649201712630754,-0.605883637494525,0.719740061513731,0.0945842827222251,0.590593135832048,1,0.772416605730706,0.842406221637862,0.635830419404966,-0.0340604294922953,0.496114568876398,-0.554765030096201,0.721380831052646
"Procr",-0.251805056439278,0.789877708594313,0.70525376537218,0.731583762190803,0.728883830507065,-0.440667916315379,0.939703728903653,0.837671721104386,0.905132204402799,-0.760190181201469,0.918810159278134,0.678463375888631,0.777900180808833,0.89814178137572,0.961728823705543,0.849781092195675,-0.812315669083635,0.935823585169333,-0.618785172361517,0.761189564981344,-0.98153671518191,0.850162785510202,0.939118524635715,-0.805568835728404,0.900554939791053,0.679376497494561,0.81069540212806,0.772416605730706,1,0.733242008562681,0.91732964749356,-0.344907363587679,0.89589059445079,-0.644210888287367,0.911060831753849
"Ptpn22",-0.189997845788118,0.648183758191517,0.91114589206425,0.860736186851662,0.512170629020648,-0.0133217741893878,0.688172232541404,0.452505311052872,0.789342285367687,-0.188390073345836,0.625618973557418,0.409512706630864,0.653397082148792,0.587674325532028,0.708123512019433,0.623332979097859,-0.730387220467121,0.6223341487355,-0.610637536427385,0.805221786134978,-0.625278894574731,0.838218186866986,0.529862433885565,-0.646286167632862,0.664306550519989,0.292562274930211,0.489160741075812,0.842406221637862,0.733242008562681,1,0.596795283084379,-0.484766230523865,0.588097961103369,-0.640923857841205,0.675232529454257
"Runx3",-0.374389443373291,0.778405358105409,0.642725286698217,0.73368989304227,0.686895449535986,-0.704879620760798,0.971513563595607,0.94431736481124,0.832357459718312,-0.824624377929348,0.905521572927403,0.791068924621855,0.731169484284654,0.919308410240337,0.978419146713142,0.820707211425934,-0.701235766158396,0.970759816800158,-0.821454819369516,0.602599505261483,-0.959746205255041,0.800180150143784,0.979588198711779,-0.821709523412013,0.925297913638875,0.754851655034529,0.853750241716902,0.635830419404966,0.91732964749356,0.596795283084379,1,-0.484510982840735,0.912632483604225,-0.814377182564308,0.971168082463111
"Stmn3",-0.155753997705526,-0.180207774947077,-0.410915100759213,-0.618199246706613,-0.0918269305778664,0.386955881507274,-0.426492750641783,-0.489464369968623,-0.398471979325343,0.230716807617585,-0.610674333830403,-0.182364507327936,-0.0294539579367405,-0.328902875628333,-0.439970490570468,0.00237553058570994,0.552387173340952,-0.487422571139006,0.622048644542971,0.0260468647552767,0.324167569676723,-0.423711190958697,-0.323131617555215,0.501967356611679,-0.408984035040016,-0.674606764863061,-0.313727519664361,-0.0340604294922953,-0.344907363587679,-0.484766230523865,-0.484510982840735,1,-0.576134142966765,0.66755091819219,-0.462438244472003
"Tenm3",-0.282381236860699,0.518655199888456,0.471958830309091,0.784538343261543,0.430409130161142,-0.485027898155132,0.836117623468888,0.811075490872613,0.702379563273017,-0.717884118181296,0.979789624867533,0.483584425287656,0.470368397786797,0.742777962425651,0.876889550340265,0.630253030690555,-0.678989741600221,0.873283559992701,-0.620470904318182,0.527573425549363,-0.893034740274298,0.636668757784443,0.893954935236214,-0.652618728038556,0.753657570804043,0.903288804637791,0.642871277741004,0.496114568876398,0.89589059445079,0.588097961103369,0.912632483604225,-0.576134142966765,1,-0.612207099986059,0.819899772065277
"Tmem174",0.221920746101328,-0.790171538731388,-0.802511671844423,-0.674752843095518,-0.677380776773138,0.725111166298997,-0.844367187316287,-0.823290772671069,-0.782345643455804,0.56152332950768,-0.644557824114328,-0.819547609544729,-0.698393565079142,-0.803462134161309,-0.815497551188522,-0.627508088569954,0.66699677443388,-0.814834317827666,0.978333327561495,-0.427413800742182,0.687627888696138,-0.838018016196007,-0.705497572099439,0.85765779423285,-0.856095081742721,-0.479942658711251,-0.796107218049244,-0.554765030096201,-0.644210888287367,-0.640923857841205,-0.814377182564308,0.66755091819219,-0.612207099986059,1,-0.882153384837142
"Tnfrsf1a",-0.29297561831722,0.897519508083488,0.781946899295034,0.703065413369826,0.817446151336619,-0.705491116081289,0.996742024144834,0.947146739229449,0.921578090269489,-0.800971972254673,0.845752040574165,0.880935498295543,0.847150710688692,0.97041465795188,0.988184354698626,0.85763575555835,-0.77978119765783,0.979289856498526,-0.861487783316555,0.645672765682897,-0.946108438467022,0.91012796165167,0.944950559585357,-0.915473196445511,0.984266945515965,0.630082682336262,0.925764747219349,0.721380831052646,0.911060831753849,0.675232529454257,0.971168082463111,-0.462438244472003,0.819899772065277,-0.882153384837142,1
